Area of Visit,Port of Entry,Percentage
Aichi,Kanmon (Shimonoseki) Port,0
Aichi,Takamatsu,0.0224
Aichi,Fukuoka,0.5808
Aichi,Hakata Port,0.0461
Aichi,Saga,0
Aichi,Izuhara Port,0
Aichi,Miyazaki,0
Aichi,Kagoshima,0.0121
Aichi,Naha,0.0208
Aichi,Other,0.5413
Mie,New Chitose,0.1935
Mie,Hakodate,0
Mie,Aomori,0
Mie,Sendai,0
Mie,Ibaraki,0
Mie,Haneda,8.922
Mie,Narita,7.1183
Mie,Komatsu,0.2096
Mie,Toyama,0
Mie,Mt.Fuji Shizuoka,0
Mie,Chubu,64.6414
Mie,Kansai,18.6525
Mie,Yonago,0
Mie,Okayama,0.1189
Mie,Hiroshima,0
Mie,Sakai Port,0
Mie,Kanmon (Shimonoseki) Port,0
Mie,Takamatsu,0
Mie,Fukuoka,0.1437
Mie,Hakata Port,0
Mie,Saga,0
Mie,Izuhara Port,0
Mie,Miyazaki,0
Mie,Kagoshima,0
Mie,Naha,0
Mie,Other,0
Shiga,New Chitose,0.1031
Shiga,Hakodate,0
Shiga,Aomori,0
Shiga,Sendai,0
Shiga,Ibaraki,0
Shiga,Haneda,6.5852
Shiga,Narita,10.6718
Shiga,Komatsu,0.5961
Shiga,Toyama,0
Shiga,Mt.Fuji Shizuoka,0
Shiga,Chubu,9.5341
Shiga,Kansai,71.3024
Shiga,Yonago,0
Shiga,Okayama,0.6883
Shiga,Hiroshima,0
Shiga,Sakai Port,0
Shiga,Kanmon (Shimonoseki) Port,0
Shiga,Takamatsu,0
Shiga,Fukuoka,0.334
Shiga,Hakata Port,0
Shiga,Saga,0
Shiga,Izuhara Port,0
Shiga,Miyazaki,0
Shiga,Kagoshima,0
Shiga,Naha,0.1849
Shiga,Other,0
Kyoto,New Chitose,0.131
Kyoto,Hakodate,0
Kyoto,Aomori,0
Kyoto,Sendai,0.0051
Kyoto,Ibaraki,0
Kyoto,Haneda,18.1548
Kyoto,Narita,21.3073
Kyoto,Komatsu,0.0151
Kyoto,Toyama,0.0217
Kyoto,Mt.Fuji Shizuoka,0.0178
Kyoto,Chubu,1.806
Kyoto,Kansai,57.6462
Kyoto,Yonago,0.0018
Kyoto,Okayama,0.0843
