Area of Visit,Places to Shop,Percentage
Hiroshima,Consumer electronics stores,20.1649
Hiroshima,Fashion boutiques,30.2923
Hiroshima,100 Yen Shops,18.3214
Hiroshima,Service areas on expressways/Michi-no-eki (Road Stations),4.9444
Hiroshima,Tourist souvenir shops,63.3328
Hiroshima,Accomodation facilities,4.1233
Hiroshima,Supermarkets,53.4945
Hiroshima,Convenience stores,84.8055
Hiroshima,Drugstores,40.2935
Hiroshima,Discount stores,27.4018
Hiroshima,Outlet malls,12.6958
Hiroshima,Commercial complexes in urban centers,19.8267
Hiroshima,Other shopping centers,14.2872
Hiroshima,Railway station boutiques,18.2142
Hiroshima,Airport duty-free stores,38.9329
Hiroshima,Stores at a port of call by cruise ship,1.5987
Hiroshima,Other,4.3724
Hiroshima,I did not go shopping.,0.879
Yamaguchi,Department stores,56.7253
Yamaguchi,Consumer electronics stores,10.4948
Yamaguchi,Fashion boutiques,12.0666
Yamaguchi,100 Yen Shops,21.1051
Yamaguchi,Service areas on expressways/Michi-no-eki (Road Stations),8.686
Yamaguchi,Tourist souvenir shops,30.553
Yamaguchi,Accomodation facilities,6.6157
Yamaguchi,Supermarkets,61.217
Yamaguchi,Convenience stores,84.0672
Yamaguchi,Drugstores,54.2851
Yamaguchi,Discount stores,24.2049
Yamaguchi,Outlet malls,13.3731
Yamaguchi,Commercial complexes in urban centers,25.2378
Yamaguchi,Other shopping centers,15.6707
Yamaguchi,Railway station boutiques,13.0527
Yamaguchi,Airport duty-free stores,41.8933
Yamaguchi,Stores at a port of call by cruise ship,3.4992
Yamaguchi,Other,1.8468
Yamaguchi,I did not go shopping.,0.8532
Tokushima,Department stores,55.6793
Tokushima,Consumer electronics stores,13.0497
Tokushima,Fashion boutiques,13.1927
Tokushima,100 Yen Shops,18.8496
Tokushima,Service areas on expressways/Michi-no-eki (Road Stations),21.1389
Tokushima,Tourist souvenir shops,55.6325
Tokushima,Accomodation facilities,6.6196
Tokushima,Supermarkets,65.3302
Tokushima,Convenience stores,81.2245
Tokushima,Drugstores,61.8591
Tokushima,Discount stores,8.8773
Tokushima,Outlet malls,13.0395
Tokushima,Commercial complexes in urban centers,17.0193
Tokushima,Other shopping centers,14.0071
Tokushima,Railway station boutiques,14.5046
Tokushima,Airport duty-free stores,31.3369
Tokushima,Stores at a port of call by cruise ship,2.6447
Tokushima,Other,2.9401
Tokushima,I did not go shopping.,0.2579
Kagawa,Department stores,56.9619
Kagawa,Consumer electronics stores,11.1901
Kagawa,Fashion boutiques,17.9689
Kagawa,100 Yen Shops,16.9573
