Area of Visit,Port of Departure,Percentage
Wakayama,Kansai,66.1942
Wakayama,Yonago,0
Wakayama,Okayama,0.1093
Wakayama,Hiroshima,0
Wakayama,Sakai Port,0
Wakayama,Kanmon (Shimonoseki) Port,0
Wakayama,Takamatsu,0.4919
Wakayama,Fukuoka,0.2589
Wakayama,Hakata Port,0
Wakayama,Saga,0.0467
Wakayama,Izuhara Port,0
Wakayama,Miyazaki,0
Wakayama,Kagoshima,0
Wakayama,Naha,0
Wakayama,Other,0
Tottori,New Chitose,0
Tottori,Hakodate,0
Tottori,Aomori,0
Tottori,Sendai,0
Tottori,Ibaraki,0
Tottori,Haneda,8.875
Tottori,Narita,9.0321
Tottori,Komatsu,0
Tottori,Toyama,0
Tottori,Mt.Fuji Shizuoka,0
Tottori,Chubu,0
Tottori,Kansai,46.2126
Tottori,Yonago,18.8167
Tottori,Okayama,7.9478
Tottori,Hiroshima,3.1082
Tottori,Sakai Port,0.4413
Tottori,Kanmon (Shimonoseki) Port,0
Tottori,Takamatsu,2.9156
Tottori,Fukuoka,2.4385
Tottori,Hakata Port,0
Tottori,Saga,0.2123
Tottori,Izuhara Port,0
Tottori,Miyazaki,0
Tottori,Kagoshima,0
Tottori,Naha,0
Tottori,Other,0
Shimane,New Chitose,0
Shimane,Hakodate,0
Shimane,Aomori,0
Shimane,Sendai,0
Shimane,Ibaraki,0
Shimane,Haneda,9.3595
Shimane,Narita,15.1791
Shimane,Komatsu,0
Shimane,Toyama,0
Shimane,Mt.Fuji Shizuoka,0
Shimane,Chubu,0
Shimane,Kansai,35.8289
Shimane,Yonago,12.9501
Shimane,Okayama,10.5679
Shimane,Hiroshima,5.5307
Shimane,Sakai Port,0.1187
Shimane,Kanmon (Shimonoseki) Port,0
Shimane,Takamatsu,2.8837
Shimane,Fukuoka,7.5814
Shimane,Hakata Port,0
Shimane,Saga,0
Shimane,Izuhara Port,0
Shimane,Miyazaki,0
Shimane,Kagoshima,0
Shimane,Naha,0
Shimane,Other,0
Okayama,New Chitose,0.4133
Okayama,Hakodate,0
Okayama,Aomori,0
Okayama,Sendai,0
Okayama,Ibaraki,0
Okayama,Haneda,12.3909
Okayama,Narita,15.8393
Okayama,Komatsu,0
Okayama,Toyama,0
Okayama,Mt.Fuji Shizuoka,0.5075
Okayama,Chubu,0.1676
Okayama,Kansai,31.0616
Okayama,Yonago,0.1141
Okayama,Okayama,22.4709
Okayama,Hiroshima,2.0894
Okayama,Sakai Port,0
Okayama,Kanmon (Shimonoseki) Port,0.1557
Okayama,Takamatsu,9.1703
Okayama,Fukuoka,5.5448
Okayama,Hakata Port,0.0744
Okayama,Saga,0
Okayama,Izuhara Port,0
Okayama,Miyazaki,0
Okayama,Kagoshima,0
Okayama,Naha,0
Okayama,Other,0
Hiroshima,New Chitose,0.2828
Hiroshima,Hakodate,0
Hiroshima,Aomori,0
Hiroshima,Sendai,0
Hiroshima,Ibaraki,0
Hiroshima,Haneda,31.9577
Hiroshima,Narita,33.7135
Hiroshima,Komatsu,0.012
Hiroshima,Toyama,0
Hiroshima,Mt.Fuji Shizuoka,0
Hiroshima,Chubu,0.2716
Hiroshima,Kansai,21.3566
Hiroshima,Yonago,0.0281
Hiroshima,Okayama,1.3149
Hiroshima,Hiroshima,5.3812
Hiroshima,Sakai Port,0
Hiroshima,Kanmon (Shimonoseki) Port,0.0726
Hiroshima,Takamatsu,0.8088
Hiroshima,Fukuoka,4.6642
Hiroshima,Hakata Port,0.0863
Hiroshima,Saga,0
Hiroshima,Izuhara Port,0
Hiroshima,Miyazaki,0
Hiroshima,Kagoshima,0.0193
Hiroshima,Naha,0.0303
Hiroshima,Other,0
Yamaguchi,New Chitose,0
Yamaguchi,Hakodate,0
Yamaguchi,Aomori,0
Yamaguchi,Sendai,0
Yamaguchi,Ibaraki,0
Yamaguchi,Haneda,6.0642
Yamaguchi,Narita,5.827
Yamaguchi,Komatsu,0
Yamaguchi,Toyama,0
Yamaguchi,Mt.Fuji Shizuoka,0
Yamaguchi,Chubu,0
Yamaguchi,Kansai,2.2598
Yamaguchi,Yonago,0
Yamaguchi,Okayama,0.3701
Yamaguchi,Hiroshima,2.2242
Yamaguchi,Sakai Port,0.0315
Yamaguchi,Kanmon (Shimonoseki) Port,35.5794
Yamaguchi,Takamatsu,0
