Area of Visit,Sex/Age,Percentage
Tohoku Region,Female/40~49,11.8992
Tohoku Region,Female/50~59,9.2341
Tohoku Region,Female/60~69,4.6252
Tohoku Region,Female/70+,1.316
Kanto Region,Male/0~19,2.2202
Kanto Region,Male/20~29,19.1783
Kanto Region,Male/30~39,16.2074
Kanto Region,Male/40~49,7.3658
Kanto Region,Male/50~59,3.6786
Kanto Region,Male/60~69,2.2033
Kanto Region,Male/70+,0.6182
Kanto Region,Female/0~19,2.0545
Kanto Region,Female/20~29,17.7959
Kanto Region,Female/30~39,13.9365
Kanto Region,Female/40~49,7.3502
Kanto Region,Female/50~59,4.5157
Kanto Region,Female/60~69,2.3221
Kanto Region,Female/70+,0.5533
Hokuriku-Shin'etsu Region,Male/0~19,1.2567
Hokuriku-Shin'etsu Region,Male/20~29,13.0527
Hokuriku-Shin'etsu Region,Male/30~39,17.2151
Hokuriku-Shin'etsu Region,Male/40~49,8.6145
Hokuriku-Shin'etsu Region,Male/50~59,5.82
Hokuriku-Shin'etsu Region,Male/60~69,4.2559
Hokuriku-Shin'etsu Region,Male/70+,1.2428
Hokuriku-Shin'etsu Region,Female/0~19,0.9313
Hokuriku-Shin'etsu Region,Female/20~29,10.6005
Hokuriku-Shin'etsu Region,Female/30~39,12.6662
Hokuriku-Shin'etsu Region,Female/40~49,9.456
Hokuriku-Shin'etsu Region,Female/50~59,7.3962
Hokuriku-Shin'etsu Region,Female/60~69,5.732
Hokuriku-Shin'etsu Region,Female/70+,1.7601
Chubu Region,Male/0~19,2.1042
Chubu Region,Male/20~29,13.2717
Chubu Region,Male/30~39,15.209
Chubu Region,Male/40~49,8.6229
Chubu Region,Male/50~59,4.77
Chubu Region,Male/60~69,3.941
Chubu Region,Male/70+,1.0762
Chubu Region,Female/0~19,1.6228
Chubu Region,Female/20~29,12.586
Chubu Region,Female/30~39,13.9026
Chubu Region,Female/40~49,9.2799
Chubu Region,Female/50~59,7.0166
Chubu Region,Female/60~69,5.3523
Chubu Region,Female/70+,1.2448
Kinki Region,Male/0~19,2.1045
Kinki Region,Male/20~29,18.4064
Kinki Region,Male/30~39,15.8324
Kinki Region,Male/40~49,7.2368
Kinki Region,Male/50~59,3.4466
Kinki Region,Male/60~69,2.0212
Kinki Region,Male/70+,0.5675
Kinki Region,Female/0~19,1.8543
Kinki Region,Female/20~29,18.8118
Kinki Region,Female/30~39,14.7132
Kinki Region,Female/40~49,7.9519
Kinki Region,Female/50~59,4.3588
Kinki Region,Female/60~69,2.1471
Kinki Region,Female/70+,0.5476
Chugoku Region,Male/0~19,1.8187
Chugoku Region,Male/20~29,17.6934
Chugoku Region,Male/30~39,19.4826
Chugoku Region,Male/40~49,7.5853
Chugoku Region,Male/50~59,4.8075
Chugoku Region,Male/60~69,4.7913
Chugoku Region,Male/70+,1.5746
Chugoku Region,Female/0~19,1.1305
Chugoku Region,Female/20~29,11.8671
Chugoku Region,Female/30~39,12.1934
Chugoku Region,Female/40~49,6.0931
Chugoku Region,Female/50~59,5.2269
Chugoku Region,Female/60~69,4.0899
Chugoku Region,Female/70+,1.6457
Shikoku Region,Male/0~19,1.0909
Shikoku Region,Male/20~29,11.174
Shikoku Region,Male/30~39,13.0463
Shikoku Region,Male/40~49,9.2816
Shikoku Region,Male/50~59,6.5646
Shikoku Region,Male/60~69,6.8489
Shikoku Region,Male/70+,2.2016
Shikoku Region,Female/0~19,0.3815
Shikoku Region,Female/20~29,9.3497
Shikoku Region,Female/30~39,12.952
Shikoku Region,Female/40~49,10.1792
Shikoku Region,Female/50~59,9.0355
Shikoku Region,Female/60~69,5.2276
Shikoku Region,Female/70+,2.6667
Kyushu Region,Male/0~19,1.1777
Kyushu Region,Male/20~29,13.5998
Kyushu Region,Male/30~39,16.3442
Kyushu Region,Male/40~49,8.4482
Kyushu Region,Male/50~59,4.8987
